anonymized_card_code,total_revenue,total_discount,total_items,n_tickets,first_date,last_date,avg_basket,median_basket,max_basket,n_unique_categories,n_unique_brands,n_unique_channels,n_unique_markets,n_unique_cities,tenure_days,avg_inter_purchase_days,repeat_customer,discount_ratio,is_omnichannel,Axe_Desc_first_purchase,Market_Desc_first_purchase,brand_first_purchase,channel_recruitment,salesVatEUR_first_purchase,discountEUR_first_purchase,quantity_first_purchase,first_purchase_dt,countryIsoCode,age_category,age_generation,gender,customer_city,status,RFM_Segment_ID,loyalty_label,rfm_label,second_date,days_to_second,revenue_90d,revenue_365d,discount_365d,high_value,category_path,channel_path,brand_path,value_12m_proxy,margin_12m_proxy,first_purchase_discounted,customer_id,first_category_display,first_channel_display,first_brand_display,country_display,city_display,age_display,gender_display,value_band,days_since_last,risk_band,phase_proxy,winning_path_score,wp_tier,archetype,is_anomaly,high_value_anomaly
-6.11407e+18,1355.7,501.29999999999995,10,2,2025-06-27,2025-06-27,677.85,677.85,837.0,2,5,1,1,1,0,0.0,1,0.269951534733441,0,SKINCARE|SKINCARE,SELECTIVE|SELECTIVE,GUERLAIN|LANCOME,store,518.7,222.3,2.0,2025-06-27 12:50:00,FR,46-60yo,,2,LOGNES,2,8,Silver,At Risk,2025-06-27,0.0,1355.7,1355.7,501.29999999999995,1,SKINCARE -> SKINCARE,Store -> Store,GUERLAIN -> CHANEL,1355.7,854.4000000000001,1,-6.11407e+18,Mixed Basket (Skincare + 1 others),Store,Mixed Basket (Guerlain + 1 others),FR,Lognes,46-60yo,2,Premium,187,Inactive,Erosion,83.4,Elite,One-and-Done,1,1
-1.66232e+18,1333.2,0.0,24,2,2025-02-18,2025-02-21,666.6,666.6,1098.2,5,5,1,2,1,3,3.0,1,0.0,0,HAIRCARE|HAIRCARE|HAIRCARE|HAIRCARE|HAIRCARE|HAIRCARE|HAIRCARE|SKINCARE|SKINCARE|MAKE UP|FRAGRANCE|SKINCARE|SKINCARE|MAKE UP|FRAGRANCE|MAKE UP|MAEK UP|HAIRCARE|SKINCARE|SKINCARE|SKINCARE,EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|SELECTIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|SELECTIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|SELECTIVE|EXCLUSIVE|EXCLUSIVE,OLAPLEX|OLAPLEX|OLAPLEX|OLAPLEX|OLAPLEX|OLAPLEX|OLAPLEX|KIEHLS|KIEHLS|CHARLOTTE TILBURY|YVES ST LAURENT|KIEHLS|CHARLOTTE TILBURY|CHARLOTTE TILBURY|YVES ST LAURENT|CHARLOTTE TILBURY|CHARLOTTE TILBURY|OLAPLEX|LANCASTER|KIEHLS|KIEHLS,store,1098.2,0.0,21.0,2025-02-18 19:11:00,FR,,geny,1,EGYPTE,2,8,Silver,At Risk,2025-02-21,3.0,1333.2,1333.2,0.0,1,HAIRCARE -> MAEK UP,Store -> Store,OLAPLEX -> CHARLOTTE TILBURY,1333.2,1333.2,0,-1.66232e+18,Mixed Basket (Haircare + 20 others),Store,Mixed Basket (Olaplex + 20 others),FR,Egypte,Unknown,1,Premium,313,Inactive,Erosion,88.1,Elite,One-and-Done,1,1
-7.30548e+18,1311.3,179.5,17,3,2025-01-03,2025-01-04,437.09999999999997,560.15,695.15,3,4,1,2,1,1,0.5,1,0.12040515159645829,0,SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE,SELECTIVE|EXCLUSIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE,LAUDER|SEASONLY|LAUDER|CLINIQUE|CLINIQUE|CLINIQUE|LAUDER,store,560.15,61.75,7.0,2025-01-03 18:52:00,FR,,geny,2,PARIS,2,8,Silver,At Risk,2025-01-03,0.0,1311.3,1311.3,179.5,1,SKINCARE -> SKINCARE -> MAEK UP,Store -> Store -> Store,CLINIQUE -> CLINIQUE -> CLINIQUE,1311.3,1131.8,1,-7.30548e+18,Mixed Basket (Skincare + 6 others),Store,Mixed Basket (Lauder + 6 others),FR,Paris,Unknown,2,Premium,361,Inactive,Erosion,85.6,Elite,One-and-Done,1,1
-3.20394e+18,1304.0,0.0,9,1,2025-06-21,2025-06-21,1304.0,1304.0,1304.0,1,4,1,1,1,0,,0,0.0,0,FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE,SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE,DIOR|TOM FORD|CARTIER|CARTIER|TOM FORD|CHANEL|CHANEL|CARTIER|CARTIER,store,1304.0,0.0,9.0,2025-06-21 20:52:00,FR,26-35yo,genz,1,ALGERIZ,2,8,Silver,At Risk,,,1304.0,1304.0,0.0,0,FRAGRANCE,Store,CARTIER,1304.0,1304.0,0,-3.20394e+18,Mixed Basket (Fragrance + 8 others),Store,Mixed Basket (Dior + 8 others),FR,Algeriz,26-35yo,1,Premium,193,Inactive,Onboarding,60.4,Strong,One-and-Done,1,0
3.07792e+18,1302.89,0.0,16,4,2025-02-19,2025-03-26,325.7225,300.95,685.0,4,6,1,3,2,35,11.666666666666666,1,0.0,0,MAKE UP|SKINCARE|FRAGRANCE|FRAGRANCE|FRAGRANCE|SKINCARE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE,SEPHORA|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE,SEPHORA|LANCOME|CHANEL|CHANEL|J.P. GAULTIER|LAUDER|GUERLAIN|GUERLAIN|YVES ST LAURENT|CHANEL,store,1480.99,0.0,11.0,2023-09-27 18:36:00,FR,,geny,2,XXXXX,2,7,Silver,About to Sleep,2025-02-19,0.0,1302.89,1302.89,0.0,1,FRAGRANCE -> FRAGRANCE -> MAEK UP -> HAIRCARE,Store -> Store -> Store -> Store,CHANEL -> CHANEL -> CHARLOTTE TILBURY -> SEPHORA,1302.89,1302.89,0,3.07792e+18,Mixed Basket (Make Up + 9 others),Store,Mixed Basket (Sephora + 9 others),FR,Xxxxx,Unknown,2,Premium,280,Inactive,Erosion,87.5,Elite,One-and-Done,1,1
1.90339e+18,1292.33,109.87,44,2,2025-02-06,2025-03-23,646.165,646.165,988.8299999999999,5,8,1,2,1,45,45.0,1,0.07835544144915135,0,MAEK UP|MAEK UP|MAKE UP|SKINCARE|MAEK UP|MAKE UP|SKINCARE|MAEK UP,EXCLUSIVE|EXCLUSIVE|SELECTIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE,CHARLOTTE TILBURY|MAKEUP BY MARIO|GUCCI|FENTY SKIN|CHARLOTTE TILBURY|FENTY|FENTY SKIN|CHARLOTTE TILBURY,store,303.5,0.0,8.0,2025-02-06 17:12:00,FR,26-35yo,genz,2,XXXXX,2,8,Silver,At Risk,2025-03-23,45.0,1292.33,1292.33,109.87,1,MAEK UP -> MAEK UP,Store -> Store,CHARLOTTE TILBURY -> FENTY,1292.33,1182.46,0,1.90339e+18,Mixed Basket (Make Up + 7 others),Store,Mixed Basket (Charlotte Tilbury + 7 others),FR,Xxxxx,26-35yo,2,Premium,283,Inactive,Erosion,85.7,Elite,One-and-Done,1,1
7.73624e+18,1271.0,30.0,15,1,2025-11-08,2025-11-08,1271.0,1271.0,1271.0,2,3,1,2,1,0,,0,0.023059185242121444,0,OTHERS|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE,OTHERS|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE,SEPHORA SERVICE|DIOR|CHANEL|DIOR|DIOR|DIOR|CHANEL|CHANEL,store,1271.0,30.0,15.0,2025-11-08 12:26:00,FR,26-35yo,genz,2,LAO,4,8,No Loyalty,At Risk,,,1271.0,1271.0,30.0,0,FRAGRANCE,Store,DIOR,1271.0,1241.0,1,7.73624e+18,Mixed Basket (Others + 7 others),Store,Mixed Basket (Sephora Service + 7 others),FR,Lao,26-35yo,2,Premium,53,Cooling,Onboarding,50.9,Strong,One-and-Done,1,0
-4.14763e+18,1262.82,0.0,39,2,2025-08-08,2025-08-09,631.41,631.41,842.39,3,13,1,2,1,1,1.0,1,0.0,0,SKINCARE|MAEK UP|MAKE UP|MAEK UP|MAKE UP|SKINCARE|MAKE UP|SKINCARE|MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAKE UP|MAKE UP,EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|SEPHORA|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE,CHARLOTTE TILBURY|MILK MAKEUP|TOO FACED|HOURGLASS|SEPHORA|KIEHLS|ANASTASIA|THE INKEY LIST|TOO FACED|HUDA BEAUTY|HUDA BEAUTY|HUDA BEAUTY|CHARLOTTE TILBURY|TOO FACED|ANASTASIA,store,842.39,0.0,24.0,2025-08-08 20:15:00,FR,,,2,XXXX,2,8,Silver,At Risk,2025-08-09,1.0,1262.82,1262.82,0.0,1,MAEK UP -> MAEK UP,Store -> Store,HUDA BEAUTY -> SEPHORA,1262.82,1262.82,0,-4.14763e+18,Mixed Basket (Skincare + 14 others),Store,Mixed Basket (Charlotte Tilbury + 14 others),FR,Xxxx,Unknown,2,Premium,144,At Risk,Erosion,86.7,Elite,One-and-Done,1,1
-3.44468e+18,1240.1399999999999,133.76,33,6,2025-02-13,2025-12-14,206.68999999999997,122.675,637.0,5,11,2,4,3,304,60.8,1,0.09735788630904724,1,,,,,,,,,FR,26-35yo,genz,2,MARSEILLE,2,7,Silver,About to Sleep,2025-04-04,50.0,327.8,1240.1399999999999,133.76,1,MAEK UP -> SKINCARE -> SKINCARE -> MAEK UP -> MAEK UP,Store -> Store -> Store -> Store -> Store,LANCOME -> LANCOME -> SEPHORA -> DIOR -> RITUALS,1240.1399999999999,1106.3799999999999,0,-3.44468e+18,Make Up,Store,Lancome,FR,Marseille,26-35yo,2,Premium,17,Active,Exploration,90.3,Elite,Premium Loyalists,1,1
3.83656e+17,1232.29,0.0,26,1,2025-01-01,2025-01-01,1232.29,1232.29,1232.29,4,14,1,3,1,0,,0,0.0,0,MAKE UP|HAIRCARE|MAEK UP|FRAGRANCE|MAEK UP|MAEK UP|MAKE UP|FRAGRANCE|HAIRCARE|HAIRCARE|HAIRCARE|HAIRCARE|MAEK UP|MAKE UP|MAKE UP|MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAEK UP,EXCLUSIVE|EXCLUSIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|EXCLUSIVE|SEPHORA|EXCLUSIVE|EXCLUSIVE|SELECTIVE|EXCLUSIVE,BENEFIT|KERASTASE|GUERLAIN|HERMES|LANCOME|LANCOME|LANCOME|HERMES|KERASTASE|OLAPLEX|OLAPLEX|OLAPLEX|BEAUTYBLENDER|RARE BEAUTY|NUDESTIX|PAT MC GRATH|FENTY|SEPHORA|WESTMAN ATELIER|PAT MC GRATH|GUERLAIN|CHARLOTTE TILBURY,store,1232.29,0.0,26.0,2025-01-01 14:04:00,FR,m60yo,babyboomers,1,PERE NOEL POSTE,2,8,Silver,At Risk,,,1232.29,1232.29,0.0,0,MAEK UP,Store,LANCOME,1232.29,1232.29,0,3.83656e+17,Mixed Basket (Make Up + 21 others),Store,Mixed Basket (Benefit + 21 others),FR,Pere Noel Poste,m60yo,1,Premium,364,Inactive,Onboarding,62.5,Strong,One-and-Done,1,0
