anonymized_card_code,total_revenue,total_discount,total_items,n_tickets,first_date,last_date,avg_basket,median_basket,max_basket,n_unique_categories,n_unique_brands,n_unique_channels,n_unique_markets,n_unique_cities,tenure_days,avg_inter_purchase_days,repeat_customer,discount_ratio,is_omnichannel,Axe_Desc_first_purchase,Market_Desc_first_purchase,brand_first_purchase,channel_recruitment,salesVatEUR_first_purchase,discountEUR_first_purchase,quantity_first_purchase,first_purchase_dt,countryIsoCode,age_category,age_generation,gender,customer_city,status,RFM_Segment_ID,loyalty_label,rfm_label,second_date,days_to_second,revenue_90d,revenue_365d,discount_365d,high_value,category_path,channel_path,brand_path,value_12m_proxy,margin_12m_proxy,first_purchase_discounted,customer_id,first_category_display,first_channel_display,first_brand_display,country_display,city_display,age_display,gender_display,value_band,days_since_last,risk_band,phase_proxy,winning_path_score,wp_tier,archetype,is_anomaly,high_value_anomaly
-8.13774e+18,2708.61,548.91,72,31,2025-01-04,2025-12-23,87.37451612903226,65.23,268.5,7,23,1,4,2,353,11.766666666666667,1,0.16850548883813452,0,,,,,,,,,FR,,geny,2,MARSEILLE,4,1,No Loyalty,Champions,2025-01-11,7.0,568.2,2708.61,548.91,1,MAKE UP -> MAEK UP -> MAEK UP -> MAKE UP -> MAEK UP,Store -> Store -> Store -> Store -> Store,FENTY -> SEPHORA -> TOO FACED -> HAUS LABS -> CHANEL,2708.61,2159.7000000000003,0,-8.13774e+18,Make Up,Store,Fenty,FR,Marseille,Unknown,2,Premium,8,Active,Acceleration,78.0,Elite,Premium Loyalists,1,1
-3.6936e+17,2671.77,683.32,54,18,2025-01-15,2025-11-29,148.43166666666667,121.03999999999999,580.38,6,21,1,4,2,318,18.705882352941178,1,0.203666667660182,0,,,,,,,,,FR,,geny,2,NICE,4,1,No Loyalty,Champions,2025-01-19,4.0,609.67,2671.77,683.32,1,MAEK UP -> MAEK UP -> SKINCARE -> MAEK UP -> FRAGRANCE,Store -> Store -> Store -> Store -> Store,FENTY -> HUDA BEAUTY -> GUERLAIN -> DIOR -> CHANEL,2671.77,1988.4499999999998,0,-3.6936e+17,Make Up,Store,Fenty,FR,Nice,Unknown,2,Premium,32,Cooling,Acceleration,77.1,Elite,Premium Loyalists,1,1
6.96031e+18,2649.83,679.52,123,29,2025-01-04,2025-12-27,91.37344827586206,74.17,285.56,5,19,1,4,2,357,12.75,1,0.2040998993797588,0,,,,,,,,,FR,m60yo,babyboomers,2,ROMAGNY SOUS ROUGEMONT,4,1,No Loyalty,Champions,2025-01-12,8.0,590.5,2649.83,679.52,1,FRAGRANCE -> SKINCARE -> SKINCARE -> SKINCARE -> SKINCARE,Store -> Store -> Store -> Store -> Store,YVES ST LAURENT -> SEPHORA -> SEPHORA -> SEPHORA -> SEPHORA,2649.83,1970.31,0,6.96031e+18,Fragrance,Store,Yves St Laurent,FR,Romagny Sous Rougemont,m60yo,2,Premium,4,Active,Acceleration,76.2,Elite,Premium Loyalists,1,1
-9.53354e+17,2647.14,488.11,87,23,2025-01-15,2025-12-29,115.09304347826087,82.71,338.24,6,26,1,3,1,348,15.818181818181818,1,0.15568455466071288,0,,,,,,,,,LU,26-35yo,genz,2,,4,1,No Loyalty,Champions,2025-02-05,21.0,541.9,2647.14,488.11,1,MAEK UP -> MAKE UP -> MAEK UP -> MAEK UP -> MAEK UP,Store -> Store -> Store -> Store -> Store,YVES ST LAURENT -> ANASTASIA -> FENTY -> FENTY -> CHARLOTTE TILBURY,2647.14,2159.0299999999997,0,-9.53354e+17,Make Up,Store,Yves St Laurent,LU,Unknown,26-35yo,2,Premium,2,Active,Acceleration,76.9,Elite,Premium Loyalists,1,1
1.14503e+18,2625.96,701.54,36,5,2025-02-04,2025-10-07,525.192,456.06,996.05,4,15,1,2,1,245,61.25,1,0.21083095416979714,0,FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE|FRAGRANCE,SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE|SELECTIVE,GUCCI|NINA RICCI|GUCCI|J.P. GAULTIER|J.P. GAULTIER|DIOR,store,429.0,0.0,6.0,2022-09-03 13:03:00,FR,46-60yo,,2,NANTES,4,1,No Loyalty,Champions,2025-02-04,0.0,1456.11,2625.96,701.54,1,MAKE UP -> FRAGRANCE -> FRAGRANCE -> FRAGRANCE -> FRAGRANCE,Store -> Store -> Store -> Store -> Store,NARS -> GUERLAIN -> CHANEL -> LANCOME -> LANCOME,2625.96,1924.42,0,1.14503e+18,Mixed Basket (Fragrance + 5 others),Store,Mixed Basket (Gucci + 5 others),FR,Nantes,46-60yo,2,Premium,85,Drifting,Acceleration,75.7,Elite,Premium Loyalists,1,1
-8.52013e+18,2620.16,519.92,68,32,2025-02-13,2025-12-16,81.88,67.63,354.23,6,28,1,3,1,306,9.870967741935484,1,0.1655753993528827,0,FRAGRANCE|FRAGRANCE|FRAGRANCE,SELECTIVE|SELECTIVE|SELECTIVE,DIOR|CHANEL|CHANEL,store,552.8,138.2,5.0,2022-06-25 14:27:00,FR,,geny,2,AURILLAC,4,1,No Loyalty,Champions,2025-02-18,5.0,423.04,2620.16,519.92,1,FRAGRANCE -> FRAGRANCE -> SKINCARE -> FRAGRANCE -> MAEK UP,Store -> Store -> Store -> Store -> Store,DIOR -> DIOR -> GISOU -> MONTBLANC -> SEPHORA,2620.16,2100.24,1,-8.52013e+18,Mixed Basket (Fragrance + 2 others),Store,Mixed Basket (Dior + 2 others),FR,Aurillac,Unknown,2,Premium,15,Active,Acceleration,77.4,Elite,Premium Loyalists,1,1
6.65255e+18,2595.2,415.3,36,8,2025-05-10,2025-12-23,324.4,146.73000000000002,1233.54,4,11,1,2,3,227,32.42857142857143,1,0.13795050656037203,0,,,,,,,,,FR,26-35yo,genz,2,ASNIERES SUR SEINE,4,1,No Loyalty,Champions,2025-05-28,18.0,2479.1,2595.2,415.3,1,MAEK UP -> FRAGRANCE -> MAEK UP -> FRAGRANCE -> FRAGRANCE,Store -> Store -> Store -> Store -> Store,DIOR -> CARTIER -> MAKE UP FOR EVER -> DIOR -> CLARINS,2595.2,2179.8999999999996,0,6.65255e+18,Make Up,Store,Dior,FR,Asnieres Sur Seine,26-35yo,2,Premium,8,Active,Acceleration,75.7,Elite,Premium Loyalists,1,1
-6.7528e+18,2594.96,789.8299999999999,34,14,2025-01-24,2025-12-13,185.3542857142857,156.555,384.12,4,15,1,3,3,323,24.846153846153847,1,0.2333468250615252,0,,,,,,,,,FR,,geny,1,GOUSSAINVILLE,4,1,No Loyalty,Champions,2025-02-21,28.0,776.79,2594.96,789.8299999999999,1,SKINCARE -> FRAGRANCE -> FRAGRANCE -> FRAGRANCE -> MAEK UP,Store -> Store -> Store -> Store -> Store,THE ORDINARY -> CHANEL -> CHANEL -> CHLOE -> MAKE UP FOR EVER,2594.96,1805.13,0,-6.7528e+18,Skincare,Store,The Ordinary,FR,Goussainville,Unknown,1,Premium,18,Active,Acceleration,74.4,Strong,Premium Loyalists,1,1
8.39757e+18,2553.79,724.1,26,14,2025-02-13,2025-12-19,182.41357142857143,127.65,633.4,2,13,1,3,2,309,23.76923076923077,1,0.22090430124256763,0,MAEK UP|MAEK UP|MAKE UP|MAKE UP,SEPHORA|SEPHORA|SEPHORA|SEPHORA,SEPHORA|SEPHORA|SEPHORA|SEPHORA,store,53.96,0.0,4.0,2023-12-28 13:38:00,FR,,geny,1,PLAISIR,4,1,No Loyalty,Champions,2025-02-14,1.0,1025.3400000000001,2553.79,724.1,1,FRAGRANCE -> FRAGRANCE -> FRAGRANCE -> FRAGRANCE -> FRAGRANCE,Store -> Store -> Store -> Store -> Store,HUGO BOSS -> GIVENCHY -> DIOR -> DIOR -> DIOR,2553.79,1829.69,0,8.39757e+18,Mixed Basket (Make Up + 3 others),Store,Mixed Basket (Sephora + 3 others),FR,Plaisir,Unknown,1,Premium,12,Active,Acceleration,74.1,Strong,Premium Loyalists,1,1
-1.81251e+18,2551.33,421.23,62,23,2025-01-04,2025-12-30,110.92739130434782,89.05000000000001,484.0,5,15,1,3,4,360,16.363636363636363,1,0.14170613881637378,0,,,,,,,,,FR,26-35yo,genz,2,CAGNES SUR MER,4,1,No Loyalty,Champions,2025-01-25,21.0,590.95,2551.33,421.23,1,FRAGRANCE -> SKINCARE -> FRAGRANCE -> FRAGRANCE -> FRAGRANCE,Store -> Store -> Store -> Store -> Store,ARMANI -> ARMANI -> DIOR -> ARMANI -> ARMANI,2551.33,2130.1,0,-1.81251e+18,Fragrance,Store,Armani,FR,Cagnes Sur Mer,26-35yo,2,Premium,1,Active,Acceleration,76.3,Elite,Premium Loyalists,1,1
-2.5162e+18,2508.46,600.53,57,11,2025-01-18,2025-12-29,228.04181818181817,206.01,549.88,6,15,1,3,2,345,34.5,1,0.19315919317849206,0,,,,,,,,,FR,,geny,2,BEZIERS,4,1,No Loyalty,Champions,2025-02-28,41.0,534.39,2508.46,600.53,1,MAEK UP -> FRAGRANCE -> HAIRCARE -> MAEK UP -> FRAGRANCE,Store -> Store -> Store -> Store -> Store,BENEFIT -> DIOR -> HUDA BEAUTY -> CHARLOTTE TILBURY -> CHANEL,2508.46,1907.93,0,-2.5162e+18,Make Up,Store,Benefit,FR,Beziers,Unknown,2,Premium,2,Active,Acceleration,75.7,Elite,Premium Loyalists,1,1
2.3429e+18,2493.38,714.65,46,16,2025-01-21,2025-12-05,155.83625,168.35,358.12,6,15,1,3,1,318,21.2,1,0.2227691137551706,0,,,,,,,,,FR,m60yo,babyboomers,2,BORDEAUX,4,1,No Loyalty,Champions,2025-01-21,0.0,936.6700000000001,2493.38,714.65,1,HAIRCARE -> FRAGRANCE -> FRAGRANCE -> SKINCARE -> MAEK UP,Store -> Store -> Store -> Store -> Store,SEPHORA -> GUERLAIN -> GUERLAIN -> ORIGINS -> FENTY,2493.38,1778.73,0,2.3429e+18,Haircare,Store,Sephora,FR,Bordeaux,m60yo,2,Premium,26,Active,Acceleration,77.0,Elite,Premium Loyalists,1,1
