customer_id,rfm_label,first_category_display,first_channel_display,winning_path_score,value_12m_proxy,margin_12m_proxy,days_since_last,conversion_alignment
1.67066e+18,Loyal,Skincare,Store,86.3,545.94,424.12000000000006,33,Channel aligned
-1.01996e+18,At Risk,Mixed Basket (Make Up + 9 others),Store,86.3,540.7,540.7,174,Channel aligned
5.15477e+18,Loyal,Make Up,Store,86.3,538.94,508.34000000000003,26,Category and channel aligned
3.26775e+18,At Risk,Mixed Basket (Skincare + 4 others),Store,86.3,528.26,528.26,241,Channel aligned
-3.69936e+18,At Risk,Mixed Basket (Skincare + 3 others),Store,86.3,527.46,512.47,207,Channel aligned
-3.89451e+18,Loyal,Skincare,Store,86.3,483.64,415.62,50,Channel aligned
-9.15642e+18,Loyal,Make Up,Store,86.3,420.1,383.76,2,Category and channel aligned
-7.27845e+18,Potential Loyalist,Make Up,Store,86.3,397.5,519.0699999999999,21,Category and channel aligned
3.41527e+18,Recent,Make Up,Store,86.3,365.82,285.27,26,Category and channel aligned
-4.47278e+18,Recent,Skincare,Estore,86.3,340.81,370.93,0,New pattern to test
8.04241e+18,Promising,Skincare,Store,86.3,327.8,162.83,334,Channel aligned
-1.52203e+18,Need Attention,Fragrance,Store,86.3,278.70000000000005,271.6,25,Channel aligned
3.4668e+18,Loyal,Skincare,Store,86.3,270.6,411.41,111,Channel aligned
8.89392e+18,About to Sleep,Skincare,Store,86.3,258.18,183.38,34,Channel aligned
7.59263e+18,Promising,Make Up,Store,86.3,251.4,214.42000000000002,42,Category and channel aligned
6.59551e+18,Need Attention,Mixed Basket (Others + 5 others),Store,86.3,247.25,375.5,13,Channel aligned
5.50898e+18,Recent,Mixed Basket (Make Up + 1 others),Estore,86.3,245.60000000000002,218.90000000000003,94,New pattern to test
-3.61481e+17,Loyal,Fragrance,Estore,86.3,192.8,192.8,14,New pattern to test
-5.03098e+18,Champions,Fragrance,Estore,86.2,2144.4,2711.26,18,New pattern to test
-4.58434e+18,Loyal,Haircare,Store,86.2,1224.8799999999999,1620.6299999999999,8,Channel aligned
-8.56588e+18,Champions,Skincare,Store,86.2,1089.9,1373.49,1,Channel aligned
8.25805e+18,Champions,Make Up,Store,86.2,912.25,830.65,26,Category and channel aligned
7.65546e+18,Champions,Skincare,Store,86.2,891.02,706.47,23,Channel aligned
2.47956e+18,Champions,Make Up,Store,86.2,868.78,746.66,2,Category and channel aligned
-1.69068e+18,Champions,Make Up,Store,86.2,853.38,702.66,5,Category and channel aligned
3.62714e+18,Champions,Make Up,Store,86.2,775.84,720.26,0,Category and channel aligned
-2.30176e+18,Champions,Others,Store,86.2,767.19,728.5,9,Channel aligned
-2.89818e+18,Champions,Mixed Basket (Make Up + 3 others),Estore,86.2,737.0600000000001,526.4100000000001,35,New pattern to test
6.61356e+17,Champions,Make Up,Estore,86.2,732.42,677.5899999999999,9,Category aligned
-2.85172e+18,At Risk,Mixed Basket (Make Up + 15 others),Store,86.2,707.98,707.98,358,Channel aligned
4.47369e+18,Champions,Make Up,Store,86.2,702.8100000000001,655.34,8,Category and channel aligned
1.36753e+17,Champions,Skincare,Estore,86.2,689.49,628.36,9,New pattern to test
7.49837e+18,Champions,Fragrance,Store,86.2,620.75,563.1,5,Channel aligned
2.77218e+18,Champions,Make Up,Store,86.2,617.34,558.19,2,Category and channel aligned
4.36104e+17,Champions,Make Up,Store,86.2,614.98,535.08,11,Category and channel aligned
-3.38361e+18,Champions,Mixed Basket (Make Up + 2 others),Store,86.2,601.6800000000001,541.8800000000001,23,Channel aligned
-3.50028e+18,Potential Loyalist,Fragrance,Estore,86.2,597.09,319.19000000000005,231,New pattern to test
-4.28953e+18,Loyal,Make Up,Estore,86.2,595.81,525.4799999999999,5,Category aligned
2.20053e+18,At Risk,Mixed Basket (Make Up + 1 others),Store,86.2,563.0,563.0,234,Channel aligned
3.49961e+18,At Risk,Mixed Basket (Skincare + 5 others),Store,86.2,513.0,513.0,330,Channel aligned
-5.95745e+18,Recent,Make Up,Estore,86.2,509.59000000000003,509.59000000000003,8,Category aligned
8.65789e+18,Loyal,Make Up,Estore,86.2,485.93,508.03000000000003,8,Category aligned
