metric,last_actual,next_forecast,forecast_uplift_rate,signal
revenue,1960909.41,2404033.4440036207,0.22597884009522948,up
tickets,27935.0,34361.28848024857,0.23004433435649083,up
active_customers,20160.0,24359.2410113283,0.20829568508572918,up
