source,target,frequency
reactivated,moved_to_rfm_3,134
first_purchase_haircare,moved_to_rfm_1,133
silver_reached,moved_to_rfm_3,121
purchase_estore,moved_to_rfm_1,120
first_purchase_others,moved_to_rfm_2,102
reactivated,moved_to_rfm_1,99
second_purchase_late,moved_to_rfm_2,97
first_purchase_make_up,high_discount_dependency,94
first_purchase_others,high_basket_event,93
second_purchase_under_30d,moved_to_rfm_2,93
purchase_estore,moved_to_rfm_2,92
second_purchase_under_60d,high_basket_event,87
first_purchase_others,moved_to_rfm_3,86
second_purchase_under_60d,purchase_estore,81
second_purchase_late,high_discount_purchase,76
silver_reached,moved_to_rfm_2,75
silver_reached,high_discount_dependency,73
second_purchase_late,moved_to_rfm_3,69
second_purchase_under_60d,omnichannel_adoption,64
first_purchase_haircare,high_discount_purchase,63
second_purchase_under_60d,silver_reached,63
category_expansion,inactivity_60d,60
first_purchase_others,purchase_estore,58
second_purchase_under_30d,moved_to_rfm_1,56
second_purchase_under_60d,moved_to_rfm_2,55
high_discount_dependency,omnichannel_adoption,54
high_basket_event,inactivity_60d,51
category_expansion,first_purchase,49
first_purchase_others,moved_to_rfm_1,45
second_purchase_under_60d,moved_to_rfm_3,45
bronze_reached,high_discount_dependency,45
high_basket_event,moved_to_rfm_3,44
category_expansion,high_discount_dependency,43
purchase_store,high_discount_dependency,41
high_discount_dependency,moved_to_rfm_3,40
second_purchase_under_30d,moved_to_rfm_3,38
bronze_reached,moved_to_rfm_1,35
first_purchase_haircare,high_discount_dependency,31
bronze_reached,inactivity_60d,30
high_discount_dependency,moved_to_rfm_2,29
second_purchase_under_60d,high_discount_purchase,27
purchase_estore,moved_to_rfm_3,25
first_purchase_maek_up,omnichannel_adoption,25
reactivated,high_discount_dependency,23
first_purchase,first_purchase_not_specified,22
second_purchase_late,moved_to_rfm_1,19
first_purchase_fragrance,omnichannel_adoption,19
second_purchase_under_60d,moved_to_rfm_1,17
second_purchase_late,high_discount_dependency,17
high_discount_purchase,inactivity_60d,15
purchase_estore,high_discount_dependency,14
first_purchase_not_specified,purchase_estore,10
first_purchase_skincare,omnichannel_adoption,10
first_purchase_not_specified,purchase_store,9
first_purchase_others,high_discount_purchase,9
second_purchase_under_30d,high_discount_dependency,8
first_purchase_make_up,omnichannel_adoption,6
silver_reached,moved_to_rfm_1,5
first_purchase_haircare,omnichannel_adoption,4
high_discount_dependency,moved_to_rfm_1,3
first_purchase_others,omnichannel_adoption,3
first_purchase_not_specified,high_basket_event,3
second_purchase_under_60d,high_discount_dependency,1
