year_month_dt,eligible_customers,regained_customers,regain_rate
2025-02-01,475,119,0.2505263157894737
2025-03-01,679,214,0.31516936671575846
2025-04-01,893,336,0.3762597984322508
2025-05-01,1097,437,0.398359161349134
2025-06-01,1141,493,0.43207712532865905
2025-07-01,1398,542,0.3876967095851216
2025-08-01,1319,548,0.41546626231993933
2025-09-01,1360,585,0.43014705882352944
2025-10-01,1681,672,0.3997620464009518
2025-11-01,2437,1047,0.4296265900697579
2025-12-01,3639,1307,0.35916460566089586
