conversion_alignment,customers,avg_score,avg_value,avg_days_since_last,repeat_rate
Category aligned,1538,76.20279583875163,365.8105786736021,66.14759427828349,0.9674902470741222
Category and channel aligned,13267,73.57329464083817,282.64047260119094,70.06565161679355,0.9841712519785935
Channel aligned,20001,72.45408729563522,292.04861406929655,83.75951202439877,0.9076546172691365
New pattern to test,3177,74.61935788479698,325.81319798552096,75.94932326093799,0.9235127478753541
