iter	Passed	Remaining
401	15231	3713
402	15269	3675
403	15306	3637
404	15344	3599
405	15381	3561
406	15418	3523
407	15454	3484
408	15490	3446
409	15530	3409
410	15564	3370
411	15603	3332
412	15643	3295
413	15678	3256
414	15718	3219
415	15755	3181
416	15793	3143
417	15830	3105
418	15871	3068
419	15907	3029
420	15944	2991
421	15981	2953
422	16019	2916
423	16058	2878
424	16095	2840
425	16133	2802
426	16170	2764
427	16210	2726
428	16248	2689
429	16282	2650
430	16319	2612
431	16358	2574
432	16393	2536
433	16433	2499
434	16474	2461
435	16508	2423
436	16541	2384
437	16575	2346
438	16610	2308
439	16648	2270
440	16683	2231
441	16718	2193
442	16757	2156
443	16794	2118
444	16832	2080
445	16868	2042
446	16907	2004
447	16946	1967
448	16982	1929
449	17021	1891
450	17059	1853
451	17096	1815
452	17133	1777
453	17171	1739
454	17207	1701
455	17247	1664
456	17285	1626
457	17321	1588
458	17358	1550
459	17395	1512
460	17433	1474
461	17468	1436
462	17504	1398
463	17545	1361
464	17581	1323
465	17619	1285
466	17659	1247
467	17696	1210
468	17733	1172
469	17772	1134
470	17808	1096
471	17845	1058
472	17882	1020
473	17918	982
474	17956	945
475	17996	907
476	18075	871
477	18108	833
478	18145	795
479	18182	757
480	18219	719
481	18260	681
482	18297	644
483	18334	606
484	18373	568
485	18413	530
486	18452	492
487	18487	454
488	18529	416
489	18567	378
490	18605	341
491	18645	303
492	18684	265
493	18720	227
494	18755	189
495	18791	151
496	18828	113
497	18864	75
498	18903	37
499	18941	0
