anonymized_card_code,total_revenue,total_discount,total_items,n_tickets,first_date,last_date,avg_basket,median_basket,max_basket,n_unique_categories,n_unique_brands,n_unique_channels,n_unique_markets,n_unique_cities,tenure_days,avg_inter_purchase_days,repeat_customer,discount_ratio,is_omnichannel,Axe_Desc_first_purchase,Market_Desc_first_purchase,brand_first_purchase,channel_recruitment,salesVatEUR_first_purchase,discountEUR_first_purchase,quantity_first_purchase,first_purchase_dt,countryIsoCode,age_category,age_generation,gender,customer_city,status,RFM_Segment_ID,loyalty_label,rfm_label,second_date,days_to_second,revenue_90d,revenue_365d,discount_365d,high_value,category_path,channel_path,brand_path,value_12m_proxy,margin_12m_proxy,first_purchase_discounted,customer_id,first_category_display,first_channel_display,first_brand_display,country_display,city_display,age_display,gender_display,value_band,days_since_last,risk_band,phase_proxy,winning_path_score,wp_tier,archetype,is_anomaly,high_value_anomaly
1.71287e+18,439.6,188.4,5,2,2025-11-22,2025-11-22,219.8,219.8,315.7,2,5,1,1,2,0,0.0,1,0.3,0,,,,,,,,,FR,46-60yo,,2,IRIGNY,3,5,Bronze,Promising,2025-11-22,0.0,439.6,439.6,188.4,1,FRAGRANCE -> FRAGRANCE,Store -> Store,CHANEL -> ARMANI,439.6,251.20000000000002,0,1.71287e+18,Fragrance,Store,Chanel,FR,Irigny,46-60yo,2,Premium,39,Cooling,Promo Dependence,76.4,Elite,Discount Explorers,0,0
-7.0441e+18,484.34,233.17000000000002,49,4,2025-01-08,2025-11-25,121.085,119.47999999999999,183.98,5,9,2,3,2,321,107.0,1,0.3249710805424315,1,,,,,,,,,FR,,geny,2,RAINANS,3,2,Bronze,Loyal,2025-01-11,3.0,230.44,484.34,233.17000000000002,1,SKINCARE -> SKINCARE -> SKINCARE -> SKINCARE,Store -> Store -> Store -> estore,SEPHORA -> SEPHORA -> SEPHORA -> BYOMA,484.34,251.16999999999996,0,-7.0441e+18,Skincare,Store,Sephora,FR,Rainans,Unknown,2,Premium,36,Cooling,Promo Dependence,83.4,Elite,One-and-Done,0,0
4.5625e+17,442.32,197.68,4,2,2025-03-26,2025-07-10,221.16,221.16,244.5,1,3,2,1,2,106,106.0,1,0.308875,1,,,,,,,,,FR,26-35yo,genz,2,CLARIREMONFERAND,3,2,Bronze,Loyal,2025-07-10,106.0,244.5,442.32,197.68,1,FRAGRANCE -> FRAGRANCE,Store -> estore,GIVENCHY -> ARMANI,442.32,244.64,0,4.5625e+17,Fragrance,Store,Givenchy,FR,Clariremonferand,26-35yo,2,Premium,174,At Risk,Erosion,76.5,Elite,One-and-Done,1,1
-3.53205e+18,438.70000000000005,194.84,21,8,2025-01-13,2025-08-20,54.837500000000006,48.955,101.48,5,10,1,3,3,219,31.285714285714285,1,0.3075417495343624,0,MAEK UP,EXCLUSIVE,HUDA BEAUTY,store,37.0,0.0,1.0,2022-12-26 13:02:00,FR,15-25yo,gena,2,DUNKERQUE,3,2,Bronze,Loyal,2025-03-29,75.0,105.98,438.70000000000005,194.84,1,SKINCARE -> MAKE UP -> MAEK UP -> MAEK UP -> SKINCARE,Store -> Store -> Store -> Store -> Store,LANEIGE -> MERCI HANDY -> MERCI HANDY -> YVES ST LAURENT -> MERCI HANDY,438.70000000000005,243.86000000000004,0,-3.53205e+18,Make Up,Store,Huda Beauty,FR,Dunkerque,15-25yo,2,Premium,133,At Risk,Erosion,75.5,Elite,Rising Stars,0,0
7.17936e+18,435.36,192.24,24,11,2025-01-08,2025-12-09,39.57818181818182,35.25,81.65,5,10,1,4,6,335,33.5,1,0.30630975143403444,0,,,,,,,,,FR,,geny,2,POISSY,4,2,No Loyalty,Loyal,2025-02-08,31.0,165.34,435.36,192.24,1,SKINCARE -> MAEK UP -> SKINCARE -> SKINCARE -> MAEK UP,Store -> Store -> Store -> Store -> Store,SEPHORA -> GUCCI -> SEPHORA -> SOL DE JANEIRO -> SEPHORA,435.36,243.12,0,7.17936e+18,Skincare,Store,Sephora,FR,Poissy,Unknown,2,Premium,22,Active,Promo Dependence,72.3,Strong,Rising Stars,0,0
7.75934e+18,414.4,177.60000000000002,4,2,2025-11-28,2025-11-28,207.2,207.2,247.8,1,3,1,1,1,0,0.0,1,0.30000000000000004,0,,,,,,,,,FR,,geny,1,ST TROPEZ,2,5,Silver,Promising,2025-11-28,0.0,414.4,414.4,177.60000000000002,1,FRAGRANCE -> FRAGRANCE,estore -> estore,MONTBLANC -> DIOR,414.4,236.79999999999995,0,7.75934e+18,Fragrance,Estore,Montblanc,FR,St Tropez,Unknown,1,Premium,33,Cooling,Promo Dependence,80.4,Elite,Discount Explorers,0,0
-3.75155e+18,431.06,195.21,16,8,2025-02-13,2025-10-15,53.8825,32.705,180.36,6,13,2,3,2,244,34.857142857142854,1,0.31170262027560003,1,,,,,,,,,FR,26-35yo,genz,2,PARIS,4,2,No Loyalty,Loyal,2025-03-10,25.0,168.0,431.06,195.21,1,FRAGRANCE -> MAEK UP -> SKINCARE -> MAEK UP -> MAEK UP,estore -> Store -> Store -> estore -> estore,CAROLINA HERRERA -> ANASTASIA -> MERCI HANDY -> CHANEL -> MAKE UP FOR EVER,431.06,235.85,0,-3.75155e+18,Fragrance,Estore,Carolina Herrera,FR,Paris,26-35yo,2,Premium,77,Drifting,Promo Dependence,78.1,Elite,One-and-Done,0,0
-7.92823e+18,429.13,198.07,16,3,2025-01-12,2025-10-06,143.04333333333332,121.42,225.21,4,12,1,2,1,267,133.5,1,0.3158003826530612,0,,,,,,,,,FR,15-25yo,gena,2,CALUIRE ET CUIRE,4,2,No Loyalty,Loyal,2025-03-14,61.0,203.92000000000002,429.13,198.07,1,FRAGRANCE -> SKINCARE -> MAEK UP,estore -> estore -> estore,ARMANI -> NUXE -> FENTY,429.13,231.06,0,-7.92823e+18,Fragrance,Estore,Armani,FR,Caluire Et Cuire,15-25yo,2,Premium,86,Drifting,Promo Dependence,70.3,Strong,Rising Stars,0,0
-1.00417e+18,401.26000000000005,175.04,14,5,2025-03-13,2025-11-28,80.25200000000001,60.2,152.54000000000002,4,11,1,2,1,260,65.0,1,0.3037306958181502,0,,,,,,,,,FR,46-60yo,,2,MONTLUEL,4,2,No Loyalty,Loyal,2025-06-23,102.0,152.54000000000002,401.26000000000005,175.04,0,MAEK UP -> MAKE UP -> SKINCARE -> SKINCARE -> FRAGRANCE,estore -> estore -> estore -> estore -> estore,MAKE UP FOR EVER -> ERBORIAN -> DRUNK ELEPHANT -> FIRST AID BEAUTY -> HUGO BOSS,401.26000000000005,226.22000000000006,0,-1.00417e+18,Make Up,Estore,Make Up For Ever,FR,Montluel,46-60yo,2,Premium,33,Cooling,Promo Dependence,68.5,Strong,Rising Stars,0,0
-5.5167e+18,374.5,160.5,5,2,2025-12-01,2025-12-01,187.25,187.25,326.2,2,5,1,1,1,0,0.0,1,0.3,0,,,,,,,,,FR,m60yo,babyboomers,2,LARDY,3,5,Bronze,Promising,2025-12-01,0.0,374.5,374.5,160.5,0,FRAGRANCE -> MAKE UP,Store -> Store,HERMES -> GUERLAIN,374.5,214.0,0,-5.5167e+18,Fragrance,Store,Hermes,FR,Lardy,m60yo,2,Premium,30,Active,Promo Dependence,75.8,Elite,Discount Explorers,0,0
